Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,10,10,5,8.97574840055313,2.0983380018151365,19.359358004294336,0.0,0.16959881384862782,0.16959881384862782,12,13,13,14,19,19,19,19,19,19,19
GET,/catalogue,263,263,1,1.6399501217462782,0.3235629992559552,62.51475799945183,0.0,4.460448804218911,4.460448804218911,1,1,2,2,2,4,10,12,63,63,63
POST,/checkout,17,17,0.3236209959140979,0.5389851755941945,0.3236209959140979,0.9876059993985109,0.0,0.2883179835426673,0.2883179835426673,0,1,1,1,1,1,1,1,1,1,1
GET,/product/[id],114,114,1,0.9233647369112812,0.32670799555489793,5.044040997745469,0.0,1.933426477874357,1.933426477874357,1,1,1,1,2,3,4,5,5,5,5
GET,/static,342,342,0.3093960040132515,0.7021068072629676,0.3093960040132515,5.151732002559584,0.0,5.800279433623071,5.800279433623071,0,1,1,1,1,2,4,4,5,5,5
,Aggregated,746,746,1,1.1737415845867623,0.3093960040132515,62.51475799945183,0.0,12.652071513107636,12.652071513107636,1,1,1,1,2,3,5,12,63,63,63
