Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,100,100,4,4.896206330304267,1.7259880041819997,20.1884100024472,0.0,1.6702903845429071,1.6702903845429071,4,5,5,5,6,14,17,20,20,20,20
GET,/catalogue,2570,2570,1,1.0739931712268602,0.3156399980071001,34.453722000762355,0.0,42.92646288275271,42.92646288275271,1,1,1,1,2,4,5,6,16,34,34
POST,/checkout,142,142,0.33813300251495093,0.5706893872472943,0.33813300251495093,2.9636090039275587,0.0,2.371812346050928,2.371812346050928,0,1,1,1,1,1,2,3,3,3,3
GET,/product/[id],1069,1069,1,0.8713688035433506,0.3191270006936975,7.6167510051163845,0.0,17.855404210763677,17.855404210763677,1,1,1,1,2,3,5,5,7,8,8
GET,/static,3207,3207,0.31657500221626833,0.7330172428892696,0.31657500221626833,22.200068000529427,0.0,53.56621263229103,53.56621263229103,0,1,1,1,1,2,4,5,6,22,22
,Aggregated,7088,7088,1,0.9329995097356522,0.3156399980071001,34.453722000762355,0.0,118.39018245640125,118.39018245640125,1,1,1,1,2,3,5,6,15,34,34
