Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,10,10,3100,7235.693073498987,3066.179444998852,35517.145122998045,0.0,0.0844588792746519,0.0844588792746519,3100,6100,6100,6100,36000,36000,36000,36000,36000,36000,36000
GET,/catalogue,422,422,1,306.10356997881377,0.31983700318960473,19396.77204399777,0.0,3.56416470539031,3.56416470539031,1,1,1,1,2,2,6100,6100,19000,19000,19000
POST,/checkout,26,26,0.34161400253651664,0.46989515417058453,0.34161400253651664,1.0196880029980093,0.0,0.21959308611409492,0.21959308611409492,0,1,1,1,1,1,1,1,1,1,1
GET,/product/[id],182,182,0.3228470013709739,79.35744471974981,0.3228470013709739,6143.540639001003,0.0,1.5371516027986645,1.5371516027986645,0,1,1,1,1,1,3,6100,6100,6100,6100
GET,/static,546,546,0.31662400579079986,19.33021267773206,0.31662400579079986,5125.338628000463,0.0,4.611454808395994,4.611454808395994,0,0,0,1,1,1,2,3,5100,5100,5100
,Aggregated,1186,1186,0.31662400579079986,191.0136640818667,0.31662400579079986,35517.145122998045,0.0,10.016823081973715,10.016823081973715,0,1,1,1,1,2,3100,6100,19000,36000,36000
